postgres_db  | 
postgres_db  | PostgreSQL Database directory appears to contain a database; Skipping initialization
postgres_db  | 
postgres_db  | 2025-05-31 02:35:02.580 UTC [1] LOG:  starting PostgreSQL 14.18 on x86_64-pc-linux-musl, compiled by gcc (Alpine 14.2.0) 14.2.0, 64-bit
postgres_db  | 2025-05-31 02:35:02.580 UTC [1] LOG:  listening on IPv4 address "0.0.0.0", port 5432
postgres_db  | 2025-05-31 02:35:02.581 UTC [1] LOG:  listening on IPv6 address "::", port 5432
postgres_db  | 2025-05-31 02:35:02.612 UTC [1] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
postgres_db  | 2025-05-31 02:35:02.635 UTC [27] LOG:  database system was shut down at 2025-05-31 00:35:54 UTC
postgres_db  | 2025-05-31 02:35:02.664 UTC [1] LOG:  database system is ready to accept connections
postgres_db  | 2025-05-31 02:38:45.804 UTC [1] LOG:  received fast shutdown request
postgres_db  | 2025-05-31 02:38:45.808 UTC [1] LOG:  aborting any active transactions
postgres_db  | 2025-05-31 02:38:45.812 UTC [1] LOG:  background worker "logical replication launcher" (PID 33) exited with exit code 1
postgres_db  | 2025-05-31 02:38:45.812 UTC [28] LOG:  shutting down
postgres_db  | 2025-05-31 02:38:45.848 UTC [1] LOG:  database system is shut down
postgres_db  | 
postgres_db  | PostgreSQL Database directory appears to contain a database; Skipping initialization
postgres_db  | 
postgres_db  | 2025-05-31 02:38:51.908 UTC [1] LOG:  starting PostgreSQL 14.18 on x86_64-pc-linux-musl, compiled by gcc (Alpine 14.2.0) 14.2.0, 64-bit
postgres_db  | 2025-05-31 02:38:51.909 UTC [1] LOG:  listening on IPv4 address "0.0.0.0", port 5432
postgres_db  | 2025-05-31 02:38:51.909 UTC [1] LOG:  listening on IPv6 address "::", port 5432
postgres_db  | 2025-05-31 02:38:51.927 UTC [1] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
postgres_db  | 2025-05-31 02:38:51.943 UTC [27] LOG:  database system was shut down at 2025-05-31 02:38:45 UTC
postgres_db  | 2025-05-31 02:38:51.958 UTC [1] LOG:  database system is ready to accept connections
postgres_db  | 2025-05-31 02:42:32.587 UTC [1] LOG:  received fast shutdown request
postgres_db  | 2025-05-31 02:42:32.592 UTC [1] LOG:  aborting any active transactions
postgres_db  | 2025-05-31 02:42:32.596 UTC [1] LOG:  background worker "logical replication launcher" (PID 33) exited with exit code 1
postgres_db  | 2025-05-31 02:42:32.596 UTC [28] LOG:  shutting down
postgres_db  | 2025-05-31 02:42:32.632 UTC [1] LOG:  database system is shut down
postgres_db  | 
postgres_db  | PostgreSQL Database directory appears to contain a database; Skipping initialization
postgres_db  | 
postgres_db  | 2025-05-31 02:43:37.281 UTC [1] LOG:  starting PostgreSQL 14.18 on x86_64-pc-linux-musl, compiled by gcc (Alpine 14.2.0) 14.2.0, 64-bit
postgres_db  | 2025-05-31 02:43:37.282 UTC [1] LOG:  listening on IPv4 address "0.0.0.0", port 5432
postgres_db  | 2025-05-31 02:43:37.282 UTC [1] LOG:  listening on IPv6 address "::", port 5432
postgres_db  | 2025-05-31 02:43:37.311 UTC [1] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
postgres_db  | 2025-05-31 02:43:37.331 UTC [27] LOG:  database system was shut down at 2025-05-31 02:42:32 UTC
